Year,Category,Nominee,Film,Winner,Type
2014,Best Director - Motion Picture,Alejandro González Iñárritu,Birdman,False,Golden Globe
2014,Best Director - Motion Picture,David Fincher,Gone Girl,False,Golden Globe
2014,Best Director - Motion Picture,Wes Anderson,"Grand Budapest Hotel, The",False,Golden Globe
2014,Best Director - Motion Picture,Ava DuVernay,Selma,False,Golden Globe
2015,Best Director - Motion Picture,Alejandro González Iñárritu,The Revenant,True,Golden Globe
2015,Best Director - Motion Picture,Ridley Scott,The Martian,False,Golden Globe
2015,Best Director - Motion Picture,Todd Haynes,Carol,False,Golden Globe
2015,Best Director - Motion Picture,George Miller,Mad Max: Fury Road,False,Golden Globe
2015,Best Director - Motion Picture,Tom McCarthy,Spotlight,False,Golden Globe
2016,Best Director - Motion Picture,Damien Chazelle,La La Land,True,Golden Globe
2016,Best Director - Motion Picture,Barry Jenkins,Moonlight,False,Golden Globe
