Year,Award,Winner,Film,Nominee,Type
1993,Directing,False,The Remains of the Day,James Ivory,Academy Award
1993,Directing,True,Schindler's List,Steven Spielberg,Academy Award
1993,Directing,False,Short Cuts,Robert Altman,Academy Award
1994,Directing,False,Bullets over Broadway,Woody Allen,Academy Award
1994,Directing,True,Forrest Gump,Robert Zemeckis,Academy Award
1994,Directing,False,Pulp Fiction,Quentin Tarantino,Academy Award
1994,Directing,False,Quiz Show,Robert Redford,Academy Award
1994,Directing,False,Red,Krzysztof Kieslowski,Academy Award
1995,Directing,False,Babe,Chris Noonan,Academy Award
1995,Directing,True,Braveheart,Mel Gibson,Academy Award
1995,Directing,False,Dead Man Walking,Tim Robbins,Academy Award
1995,Directing,False,Leaving Las Vegas,Mike Figgis,Academy Award
1995,Directing,False,The Postman (Il Postino),Michael Radford,Academy Award
1996,Directing,True,The English Patient,Anthony Minghella,Academy Award
1996,Directing,False,Fargo,Joel Coen,Academy Award
1996,Directing,False,The People vs. Larry Flynt,Milos Forman,Academy Award
1996,Directing,False,Secrets & Lies,Mike Leigh,Academy Award
1996,Directing,False,Shine,Scott Hicks,Academy Award
1997,Directing,False,The Full Monty,Peter Cattaneo,Academy Award
1997,Directing,False,Good Will Hunting,Gus Van Sant,Academy Award
1997,Directing,False,L.A. Confidential,Curtis Hanson,Academy Award
1997,Directing,False,The Sweet Hereafter,Atom Egoyan,Academy Award
1997,Directing,True,Titanic,James Cameron,Academy Award
1998,Directing,False,Life Is Beautiful,Roberto Benigni,Academy Award
1998,Directing,True,Saving Private Ryan,Steven Spielberg,Academy Award
1998,Directing,False,Shakespeare in Love,John Madden,Academy Award
1998,Directing,False,The Thin Red Line,Terrence Malick,Academy Award
1998,Directing,False,The Truman Show,Peter Weir,Academy Award
1999,Directing,True,American Beauty,Sam Mendes,Academy Award
1999,Directing,False,Being John Malkovich,Spike Jonze,Academy Award
1999,Directing,False,The Cider House Rules,Lasse Hallström,Academy Award
1999,Directing,False,The Insider,Michael Mann,Academy Award
1999,Directing,False,The Sixth Sense,M. Night Shyamalan,Academy Award
2000,Directing,False,Billy Elliot,Stephen Daldry,Academy Award
2000,Directing,False,"Crouching Tiger, Hidden Dragon",Ang Lee,Academy Award
2000,Directing,False,Erin Brockovich,Steven Soderbergh,Academy Award
2000,Directing,False,Gladiator,Ridley Scott,Academy Award
2000,Directing,True,Traffic,Steven Soderbergh,Academy Award
